Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,21700.0,21940.94921875,21325.900390625,21593.75,21547.615234375,52275
2020-08-05,21793.349609375,22150.0,21451.099609375,22103.900390625,22056.673828125,84442
2020-08-06,22120.0,22165.0,21530.0,21722.849609375,21676.4375,56603
2020-08-07,21900.0,22074.150390625,21621.30078125,21910.099609375,21863.287109375,41429
2020-08-10,22200.0,22550.0,21939.55078125,22396.400390625,22348.55078125,125347
2020-08-11,21920.0,21989.94921875,21322.0,21551.599609375,21505.5546875,188583
2020-08-12,21566.0,21634.69921875,21270.0,21378.900390625,21333.224609375,72527
2020-08-13,21569.0,21644.44921875,21103.30078125,21237.0,21191.626953125,66877
2020-08-14,21395.0,21700.0,21201.55078125,21458.25,21412.404296875,78902
2020-08-17,21600.0,21649.900390625,21401.0,21512.75,21466.787109375,34712
2020-08-18,21512.75,21950.0,21512.75,21914.30078125,21867.48046875,76377
2020-08-19,22148.0,22173.30078125,21850.05078125,22081.30078125,22034.123046875,47993
2020-08-20,21974.0,22236.44921875,21788.19921875,22080.19921875,22033.0234375,37684
2020-08-21,22160.0,22467.80078125,22100.30078125,22317.75,22270.068359375,34259
2020-08-24,22317.75,22543.0,22156.0,22210.75,22163.296875,37878
2020-08-25,22260.19921875,22461.75,21650.0,21810.75,21764.150390625,64964
2020-08-26,21950.0,21999.0,21600.05078125,21710.650390625,21664.265625,38074
2020-08-27,21710.650390625,21753.30078125,21460.0,21528.0,21482.00390625,40826
2020-08-28,21645.0,21800.0,21251.5,21329.55078125,21283.98046875,52818
2020-08-31,21478.900390625,21550.0,20010.0,20283.0,20239.6640625,114635
2020-09-01,20449.0,20599.94921875,19975.0,20466.599609375,20422.873046875,74777
2020-09-02,20599.0,20748.400390625,20450.0,20563.599609375,20519.6640625,49617
2020-09-03,20540.0,20849.0,20250.69921875,20429.0,20385.353515625,50370
2020-09-04,20300.0,20500.0,19950.0,20025.30078125,19982.515625,64481
2020-09-07,20100.0,20119.150390625,19636.05078125,19782.94921875,19740.681640625,59728
2020-09-08,19782.94921875,20199.0,19272.099609375,19355.849609375,19314.49609375,65858
2020-09-09,19300.0,19566.0,19068.05078125,19401.5,19360.048828125,83567
2020-09-10,19500.0,19750.0,19319.0,19643.349609375,19601.380859375,44713
